43
3  1 15 


1.2   0
1.2  0.7
1.2  1.4
1.2  2
2.1  2
3    2.3
3    3
3    8
3    14
3    18
3    19.2 
2.5  20 
0.8  20 
0.8  20.7
0.8  21.4
0.8  22
2.2  22
4.8  22
6.5  22
6.5  21.3
6.5  20.5
6.5  19.8
8.1  22
9    23
10.7 23
11.9 23
13   21.5
13   19
13   16
12   15
11   15
10   15
9.3  16.5
9    19
7.7  16.9
7    15
7    10
7    4
7.8  2.2
10   2
10   1.4
10   0.7
10   0
7    0
4    0
1.2  0


0 0 0
1 1 1
2 2 2
3 3 3
4 4 4
5 5 5
6 6 6
7 7 7
8 8 8
9 9 9
10 10 10
11 11 11
12 12 12
13 13 13
14 14 14
15 15 15
16 16 16
17 17 17

This file generates the letter 'r', as piecewise cubic B-spline curve
with triple knots everywhere. It is read by the main progam deboormain.c.


